"id","name_full","name_sortable","is_dead","when_born","when_died","org_acronym","org_v6_id"
"22610","Spider Boy","Spider Boy","0",,,"AAA","17"
"31039","Star Fire","Star Fire","0",,,"AAA","17"
"9778","Steve Pain","Steve Pain","0",,,"AAA","17"
"9758","Sting","Sting","0",,,"AAA","17"
"9708","Sugi San","Sugi San","0",,,"AAA","17"
"14899","Sugryva","Sugryva","0",,,"AAA","17"
"23478","Sumire Natsu","Sumire Natsu","0",,,"AAA","17"
"40166","Súper Amigo","Super Amigo","0",,,"AAA","17"
"10507","Súper Astro","Super Astro","0",,,"AAA","17"
"9881","Súper Caló","Super Calo","0",,,"AAA","17"
"25322","Súper Caló (Masked)","Super Calo (Masked)","0",,,"AAA","17"
"9709","Súper Crazy","Super Crazy","0",,,"AAA","17"
"57573","Súper Deportes","Super Deportes","0",,,"AAA","17"
"9710","Súper Fly","Super Fly","0",,,"AAA","17"
"33429","Súper Fly (Masked)","Super Fly (Masked)","0",,,"AAA","17"
"42627","Súper Kendo","Super Kendo","0",,,"AAA","17"
"40979","Súper Kiss","Super Kiss","0",,,"AAA","17"
"56419","Súper Loco","Super Loco","0",,,"AAA","17"
"20593","Súper Muñeco","Super Muneco","1","1962","2022","AAA","17"
"37494","Súper Muñequito","Super Munequito","0",,,"AAA","17"
"47672","Súper Nova","Super Nova","0",,,"AAA","17"
"10703","Súper Nova II","Super Nova II","0",,,"AAA","17"
"14863","Súper Porky","Super Porky","1","1963","2021","AAA","17"
"14900","Súper Rabbit","Super Rabbit","0",,,"AAA","17"
"29424","Súper Star","Super Star","1","1969","2023","AAA","17"
"14848","Súper Triple A","Super Triple A","0",,,"AAA","17"
"52448","Sussy Love","Sussy Love","0",,,"AAA","17"
"33144","Swerve Strickland","Swerve Strickland","0",,,"AAA","17"
"34191","Syrus","Syrus","0",,,"AAA","17"
"32215","T.D.","T.D.","0",,,"AAA","17"
"45374","Taboo","Taboo","1","1971","2020","AAA","17"
"10488","Taiji Ishimori","Taiji Ishimori","0",,,"AAA","17"
"31854","TAKA Michinoku","TAKA Michinoku","0",,,"AAA","17"
"39630","Takashi Sugiura","Takashi Sugiura","0",,,"AAA","17"
"31851","Takeshi Minamino","Takeshi Minamino","0",,,"AAA","17"
"10013","Takeshi Morishima","Takeshi Morishima","0",,,"AAA","17"
"53750","Takuma","Takuma","0",,,"AAA","17"
"56978","Tania","Tania","0",,,"AAA","17"
"14921","Tarzan Boy","Tarzan Boy","0",,,"AAA","17"
"60335","Tasha Steelz","Tasha Steelz","0",,,"AAA","17"
"16797","Taurus","Taurus","0",,,"AAA","17"
"58797","Taurus II","Taurus II","0",,,"AAA","17"
"9478","Taya","Taya","0",,,"AAA","17"
"23766","Taya Valkyrie","Taya Valkyrie","0",,,"AAA","17"
"56328","Team Baja","Team Baja","0",,,"AAA","17"
"56327","Team Chilango","Team Chilango","0",,,"AAA","17"
"54292","Team Leyenda Americana","Team Leyenda Americana","0",,,"AAA","17"
"57674","Team Regio","Team Regio","0",,,"AAA","17"
"27133","Team Sangre","Team Sangre","0",,,"AAA","17"
"54290","Team Terror Púrpura","Team Terror Purpura","0",,,"AAA","17"
"21235","Team Trump (Faction)","Team Trump (Faction)","0",,,"AAA","17"
"9711","Teddy Hart","Teddy Hart","0",,,"AAA","17"
"14850","Televisa Deportes","Televisa Deportes","0",,,"AAA","17"
"29132","Terremoto","Terremoto","0",,,"AAA","17"
"10720","Terremoto Negro","Terremoto Negro","0",,,"AAA","17"
"16979","Terry 2000","Terry 2000","0",,,"AAA","17"
"37476","Tessa Blanchard","Tessa Blanchard","0",,,"AAA","17"
"9610","Texano","Texano","1","1958","2006","AAA","17"
"9685","Texano Jr.","Texano Jr.","0",,,"AAA","17"
"31511","Thai Boxer","Thai Boxer","0",,,"AAA","17"
"31252","Thailandes","Thailandes","0",,,"AAA","17"
"40428","Thunderbird","Thunderbird","0",,,"AAA","17"
"56423","Thunderflash","Thunderflash","0",,,"AAA","17"
"58764","Tiago","Tiago","0",,,"AAA","17"
"9714","Tiffany","Tiffany","0",,,"AAA","17"
"37832","Tiger Boy","Tiger Boy","0",,,"AAA","17"
"39612","Tiger Emperor","Tiger Emperor","0",,,"AAA","17"
"37872","Tiger Fly","Tiger Fly","0",,,"AAA","17"
"16214","Tiger Man","Tiger Man","0",,,"AAA","17"
"40458","Tiger Mask III","Tiger Mask III","0",,,"AAA","17"
"10041","Tiger Mask IV","Tiger Mask IV","0",,,"AAA","17"
"9788","Tiger Steel","Tiger Steel","0",,,"AAA","17"
"29889","Tigger Boy","Tigger Boy","0",,,"AAA","17"
"58937","Tigre Blanco","Tigre Blanco","0",,,"AAA","17"
"17211","Tigre Cota","Tigre Cota","0",,,"AAA","17"
"31849","Tigre Imperial","Tigre Imperial","0",,,"AAA","17"
"65173","Tigre Universitario","Tigre Universitario","0",,,"AAA","17"
"65171","Tigre Universitario Jr.","Tigre Universitario Jr.","0",,,"AAA","17"
"14895","Tigre Uno","Tigre Uno","0",,,"AAA","17"
"25327","Tinieblas","Tinieblas","0",,,"AAA","17"
"10022","Tinieblas Jr.","Tinieblas Jr.","0",,,"AAA","17"
"25328","Tinieblas Sr.","Tinieblas Sr.","0",,,"AAA","17"
"10283","Tito Santana (Monterrey)","Tito Santana (Monterrey)","0",,,"AAA","17"
"40973","Tito Santana (WWE)","Tito Santana (WWE)","0",,,"AAA","17"
"40808","TJ Boy","TJ Boy","0",,,"AAA","17"
"56694","Tobikage","Tobikage","0",,,"AAA","17"
"32231","Tokyo Viper","Tokyo Viper","0",,,"AAA","17"
"57651","Tommy Dreamer","Tommy Dreamer","0",,,"AAA","17"
"34722","Tonga","Tonga","0",,,"AAA","17"
"47255","Tony Arce","Tony Arce","0",,,"AAA","17"
"40809","Tony Casanova","Tony Casanova","0",,,"AAA","17"
"14870","Torerito","Torerito","0",,,"AAA","17"
"20597","Torero","Torero","0",,,"AAA","17"
"25332","Tornado","Tornado","0",,,"AAA","17"
"25331","Tornado II","Tornado II","0",,,"AAA","17"
"10721","Tornado III","Tornado III","0",,,"AAA","17"
"33413","Toro Irisson","Toro Irisson","0",,,"AAA","17"
"29305","Toro Irizón","Toro IrizÃ³n","0",,,"AAA","17"
"10208","Toscano","Toscano","0",,,"AAA","17"
"23477","Toshizo","Toshizo","0",,,"AAA","17"
"60333","Toto","Toto","0",,,"AAA","17"
"14889","Tóxico","Toxico","0",,,"AAA","17"
"30928","Toxin","Toxin","0",,,"AAA","17"
"10032","Traci Brooks &amp; Tiana Ringer","Traci Brooks & Tiana Ringer","0",,,"AAA","17"
"58754","Trevor Murdoch","Trevor Murdoch","0",,,"AAA","17"
"57719","Trey Miguel","Trey Miguel","0",,,"AAA","17"
"57549","Trinity","Trinity","0",,,"AAA","17"
"14849","Triple A","Triple A","0",,,"AAA","17"
"39895","Tritón II","Triton II","0",,,"AAA","17"
"33955","Tromba","Tromba","0",,,"AAA","17"
"14919","Turako","Turako","0",,,"AAA","17"
"58755","Tyrus","Tyrus","0",,,"AAA","17"
"37500","Último Dragón","Ultimo Dragon","0",,,"AAA","17"
"9526","Último Gladiador","Ultimo Gladiador","0",,,"AAA","17"
"30703","Último Maldito","Ultimo Maldito","0",,,"AAA","17"
"57561","Ultra","Ultra","0",,,"AAA","17"
"29436","Ultraman 2000","Ultraman 2000","0",,,"AAA","17"
"32560","Ultraman Jr.","Ultraman Jr.","0",,,"AAA","17"
"20565","Universo 2000","Universo 2000","1","1963","2018","AAA","17"
"15513","Uro Rocker","Uro Rocker","0",,,"AAA","17"
"57564","Valdez","Valdez","0",,,"AAA","17"
"58785","Valdez Jr.","Valdez Jr.","0",,,"AAA","17"
"65166","Valentina","Valentina","0",,,"AAA","17"
"65186","Valentino","Valentino","0",,,"AAA","17"
"62345","Valentynna Reis","Valentynna Reis","0",,,"AAA","17"
"9717","Vampiro","Vampiro","0",,,"AAA","17"
"30643","Vangelis","Vangelis","0",,,"AAA","17"
"32209","Vanilla","Vanilla","0",,,"AAA","17"
"32210","Vanilla Vargas","Vanilla Vargas","0",,,"AAA","17"
"31811","Vaquero Romo","Vaquero Romo","0",,,"AAA","17"
"58796","Vasco Jr.","Vasco Jr.","0",,,"AAA","17"
"29421","Vegas","Vegas","1","1969","2023","AAA","17"
"10313","Velvet Sky","Velvet Sky","0",,,"AAA","17"
"60354","Vengador","Vengador","0",,,"AAA","17"
"30635","Venganza","Venganza","0",,,"AAA","17"
"37495","Venum","Venum","0",,,"AAA","17"
"25441","Venum (Original)","Venum (Original)","0",,,"AAA","17"
"25445","Venum II","Venum II","0",,,"AAA","17"
"20445","Venum III","Venum III","0",,,"AAA","17"
"18419","Vicky Carranza","Vicky Carranza","0",,,"AAA","17"
"37479","Villaño III","Villano III","0",,,"AAA","17"
"29438","Villaño III Jr.","Villano III Jr.","0",,,"AAA","17"
"10678","Villaño IV","Villano IV","0",,,"AAA","17"
"53902","Villaño IV (Masked)","Villano IV (Masked)","0",,,"AAA","17"
