"v6_id","org_acronym","org_name","is_active"
"65","100L","100% Lucha","0"
"935","10R","$10 Rasslin","0"
"1809","123Lutte","123 Lutte!","1"
"1268","127","127 Pro Wrestling","0"
"1266","1CW","1st Class Wrestling","0"
"1712","1CW-2","1CW Pro Wrestling","1"
"28","1PW","One Pro Wrestling","0"
"2275","1UP","1UP Wrestling","1"
"349","1WS","First Wrestling Society","1"
"23","2AW","Active Advance Pro Wrestling","1"
"213","2CW","Squared Circle Wrestling","1"
"2502","2Point5","2Point5 Joshi Pro Wrestling","1"
"992","2PW","Pure Pro Wrestling","1"
"733","321Battle","3-2-1 BATTLE!","1"
"447","360","360 Pro Wrestling","1"
"993","365","365 Pro Wrestling","1"
"1963","3Count","3 Count Pro Wrestling","1"
"580","3CW","3 Count Wrestling","1"
"1474","3CW-2","Third Coast Wrestling","1"
"1433","3D","3D Pro Wrestling","1"
"420","3KW","3KWrestling","0"
"1861","3LW","Three Legacies Wrestling","1"
"206","3PW","Power Precision Pro Wrestling","1"
"237","3PW-2","Pro Pain Pro Wrestling","0"
"185","3XW","3XWrestling","1"
"1995","49thSt","49th State Wrestling","1"
"260","4FW","4 Front Wrestling","1"
"1267","4GW","4th Generation Wrestling","1"
"2451","4thRope","4th Rope Wrestling","1"
"2293","4WW","Fourth Wall Wrestling","1"
"1121","5CC","5CC Wrestling","1"
"1924","5DPW","5th Dimension Pro Wrestling","1"
"934","5DW","5 Dollar Wrestling","1"
"1994","5Luchas","5 Luchas","1"
"667","5Star","5 Star Wrestling (UK)","0"
"982","5StarUS","5 Star Wrestling (US)","1"
"1269","605","605 Championship Wrestling","1"
"408","666","666","1"
"2276","686","686 Pro Wrestling","1"
"833","6BFC","6 Below Fight Club","1"
"2193","880","880 Wrestling","1"
"1996","907","907 Pro Wrestling","1"
"669","A-TEAM","Pro-Wrestling A-TEAM","1"
"186","A1W","Alpha-1 Wrestling","1"
"1714","A2W","Addicted 2 Wrestling","1"
"17","AAA","Lucha Libre AAA Worldwide","1"
"68","AAPW","All American Pro Wrestling","0"
"1605","AAPW-2","America's Academy of Pro Wrestling","1"
"179","AAW","AAW: Professional Wrestling Redefined","1"
"527","AAW-2","All Action Wrestling","1"
"1998","AAWE","All Action Wrestling Empire","1"
"160","Abbadon","Wrestling Abbadon","1"
