"v6_id","org_acronym","org_name","is_active"
"1108","WWA","World Wrestling All-Stars","0"
"1552","WWA-2","Warzone Wrestling Australia","1"
"2152","WWA-3","Wrestling World Austria","1"
"1214","WWArmy","Women's Wrestling Army","1"
"216","WWC","World Wrestling Council","1"
"2143","WWC-2","World Wrestling Congo","1"
"2171","WWC-3","Wrestling With Character","1"
"923","WWD","Worldwide Wrestling Dojo","1"
"1","WWE","World Wrestling Entertainment","1"
"53","WWL","World Wrestling League","0"
"1923","WWL-2","World Wrestling Legends","0"
"1415","WWOW","Wild Women of Wrestling","0"
"595","WWP","World Wrestling Professionals","1"
"2558","WWP-2","Wrestling with Pride","1"
"244","WWR","Women's Wrestling Revolution","1"
"393","WWS","Womens Wrestling Stars","1"
"1907","WWS-2","Womens Wrestling Syndicate","1"
"2567","WWS-3","World Wrestlings Superstars","0"
"1205","WWSpirit","World Wing Spirit","1"
"165","WWW","White Wolf Wrestling","1"
"1553","WWW-2","Wild West Wrestling","0"
"1711","WWWA","World Wide Wrestling Alliance","0"
"1204","WWWrestling","World War Wrestling","1"
"1206","WWX","World Wrestling Xpress","1"
"1745","WWX-2","World Wrestling X-Treme","0"
"1555","WWZ","World Wrestling Zone","0"
"2529","WXM","Wrestling Xtreme Mania","1"
"59","wXw","Westside Xtreme Wrestling","1"
"2363","WXW-2","World Xtreme Wrestling","0"
"789","WZ","WrestleZone","1"
"1171","WZW","Wild Zero Wrestling","1"
"400","X-LAW","Xtreme Latin American Wrestling","1"
"1854","XBW","X Brand Wrestling","1"
"1684","XCF","Xtreme Championship Federation","1"
"164","XCW","Xtreme Championship Wrestling","0"
"214","XICW","Xtreme Intense Championship Wrestling","1"
"1418","XIW","Xtreme Italian Wrestling","1"
"399","XIWG","Xtreme Independent Wrestling Group","1"
"2497","XLL","XLL Lucha Libre","1"
"1419","XMCW","X-Treme Maximum Championship Wrestling","1"
"397","XNL","Xplosion Nacional de Lucha Libre","1"
"98","XPW","Xtreme Pro Wrestling","0"
"398","XtremeClub","Xtreme Club Lucha Libre","1"
"568","XW","Xcite Wrestling","1"
"1939","XWA-2","Xtreme Wrestling Alliance","1"
"271","XWA-UK","XWA UK","1"
"1184","xWe","xWe Wrestling","1"
"395","XWF","Xcitement Wrestling Federation","0"
"1097","YAWARA","YAWARA","1"
"2514","YMB","YMB Promotion","0"
"778","YMZ","Yoneyamadoka da ze","1"
"1918","YoLoco","Yo Loco Mexican Wrestling","0"
"759","Young","Pro-Wrestling Young","0"
"990","YPW","Yanagase Pro Wrestling","1"
"1420","YWA","Yorkshire Wrestling Association","1"
"521","Z1-Spain","ZERO1 Spain","0"
"654","z1hk","ZERO1 Hong Kong","1"
"1559","ZDC","Zona de Combate","0"
"1098","Zenobia","Zenobia","1"
"56","ZERO1","Pro Wrestling ZERO1","1"
"569","ZERO1-Ire","ZERO1 Ireland","1"
"570","ZERO1-USA","ZERO1 USA","1"
"1207","ZMAK","ZMAK Wrestling","1"
"815","Zona23","Zona 23","1"
"1815","ZonaDeLucha","Zona De Lucha","1"
"1177","ZOWA","ZOWA Live","1"
"674","ZPW","Zelo Pro Wrestling","1"
