"id","name_full","name_sortable","is_dead","when_born","when_died","org_acronym","org_v6_id"
"66806","The Barbarian","Barbarian","0",,,"VDB","2573"
"66810","Colonel Brody","Colonel Brody","0",,,"VDB","2573"
"66815","Danny Collins","Danny Collins","0",,,"VDB","2573"
"66813","Danny Royal","Danny Royal","0",,,"VDB","2573"
"66809","Dave Taylor","Dave Taylor","0",,,"VDB","2573"
"66807","Franz Schuhmann","Franz Schuhmann","0",,,"VDB","2573"
"66812","Jimmy Ocean","Jimmy Ocean","0",,,"VDB","2573"
"66814","Marty Jones","Marty Jones","0",,,"VDB","2573"
"66811","Mile Zrno","Mile Zrno","0",,,"VDB","2573"
"66808","Steve Wright","Steve Wright","0",,,"VDB","2573"
"66805","Tony St. Clair","Tony St. Clair","0",,,"VDB","2573"
