"id","name_full","name_sortable","is_dead","when_born","when_died","org_acronym","org_v6_id"
"55170","Masha Slamovich","Masha Slamovich","0",,,"WPW-Can","825"
"66101","Matt Cardona","Matt Cardona","0",,,"WPW-Can","825"
"63083","Mentallo","Mentallo","0",,,"WPW-Can","825"
"62998","Merv Unger Jr.","Merv Unger Jr.","0",,,"WPW-Can","825"
"55919","Michael Allen Richard Clark","Michael Allen Richard Clark","0",,,"WPW-Can","825"
"54256","Michael Richard Blais","Michael Richard Blais","0",,,"WPW-Can","825"
"60523","Mike Bailey","Mike Bailey","0",,,"WPW-Can","825"
"61466","Mike Santana","Mike Santana","0",,,"WPW-Can","825"
"54253","Mo Jabari","Mo Jabari","0",,,"WPW-Can","825"
"52965","Moses","Moses","0",,,"WPW-Can","825"
"62982","Mustafa Ali","Mustafa Ali","0",,,"WPW-Can","825"
"57500","Napalony Diabell","Napalony Diabell","0",,,"WPW-Can","825"
"52962","Nate Nixon","Nate Nixon","0",,,"WPW-Can","825"
"62996","Nick Nelson","Nick Nelson","0",,,"WPW-Can","825"
"52967","Nicky Von Gavin","Nicky Von Gavin","0",,,"WPW-Can","825"
"48669","PCO","PCO","0",,,"WPW-Can","825"
"57501","PJ Fresh Phil","PJ Fresh Phil","0",,,"WPW-Can","825"
"65828","Prairie Sky","Prairie Sky","0",,,"WPW-Can","825"
"66102","Raj Dhesi","Raj Dhesi","0",,,"WPW-Can","825"
"48667","Robby Royce","Robby Royce","0",,,"WPW-Can","825"
"60324","Ronnie Attitude","Ronnie Attitude","0",,,"WPW-Can","825"
"52973","Rylie Jackson","Rylie Jackson","0",,,"WPW-Can","825"
"60321","Sammy Peppers","Sammy Peppers","0",,,"WPW-Can","825"
"56781","Scott Ripley III","Scott Ripley III","0",,,"WPW-Can","825"
"55915","Seleziya Sparx","Seleziya Sparx","0",,,"WPW-Can","825"
"66103","Shaun Moore","Shaun Moore","0",,,"WPW-Can","825"
"56774","Shelly Benson","Shelly Benson","0",,,"WPW-Can","825"
"54258","Steven Crowe","Steven Crowe","0",,,"WPW-Can","825"
"55752","Storm Grayson","Storm Grayson","0",,,"WPW-Can","825"
"57497","Stratos Fear","Stratos Fear","0",,,"WPW-Can","825"
"55169","Sweet Daddy Soul","Sweet Daddy Soul","0",,,"WPW-Can","825"
"54255","Taryn From Accounting","Taryn From Accounting","0",,,"WPW-Can","825"
"60325","Tommy Billington","Tommy Billington","0",,,"WPW-Can","825"
"51436","Tommy Lee Curtis","Tommy Lee Curtis","0",,,"WPW-Can","825"
"55168","Tootie Lynn","Tootie Lynn","0",,,"WPW-Can","825"
"63082","Travis Cole","Travis Cole","0",,,"WPW-Can","825"
"55920","Travis Williams","Travis Williams","0",,,"WPW-Can","825"
"61367","Trent Seven","Trent Seven","0",,,"WPW-Can","825"
"51427","Tyler Colton","Tyler Colton","0",,,"WPW-Can","825"
"51528","Tyler James","Tyler James","0",,,"WPW-Can","825"
