"name_full","name_sort","year_born","year_died","is_dead","org_acronym"
"2 Cold Scorpio","2 Cold Scorpio",,,"0","ECW"
"911","911",,,"0","ECW"
"Al Snow","Al Snow",,,"0","ECW"
"Angel","Angel",,,"0","ECW"
"Atsushi Onita","Atsushi Onita",,,"0","ECW"
"Axl Rotten","Axl Rotten","1971","2016","1","ECW"
"Balls Mahoney","Balls Mahoney","1972","2016","1","ECW"
"Bam Bam Bigelow","Bam Bam Bigelow","1961","2007","1","ECW"
"Beulah McGillicutty","Beulah McGillicutty",,,"0","ECW"
"Big Titan","Big Titan","1970","2019","1","ECW"
"Big Val Puccio","Big Val Puccio","1965","2011","1","ECW"
"Bilvis Wesley","Bilvis Wesley",,,"0","ECW"
"The Blue Meanie","Blue Meanie",,,"0","ECW"
"Bobby Duncum Jr.","Bobby Duncum Jr.","1965","2000","1","ECW"
"Bobby Eaton","Bobby Eaton","1958","2021","1","ECW"
"Brian Lee","Brian Lee",,,"0","ECW"
"Broad Street Bully","Broad Street Bully",,,"0","ECW"
"C.W. Anderson","CW Anderson",,,"0","ECW"
"Cactus Jack","Cactus Jack",,,"0","ECW"
"Chad Austin","Chad Austin",,,"0","ECW"
"Chilly Willy","Chilly Willy",,,"0","ECW"
"Chris Benoit","Chris Benoit","1967","2007","1","ECW"
"Chris Candido","Chris Candido","1972","2005","1","ECW"
"Chris Chetti","Chris Chetti",,,"0","ECW"
"Chris Hamrick","Chris Hamrick",,,"0","ECW"
"Chris Jericho","Chris Jericho",,,"0","ECW"
"Christian York","Christian York",,,"0","ECW"
"Christopher Daniels","Christopher Daniels",,,"0","ECW"
"Mr. Hughes","Mr. Hughes",,,"0","ECW"
"Danny Doring","Danny Doring",,,"0","ECW"
"Dark Patriot","Dark Patriot",,,"0","ECW"
"Dawn Marie","Dawn Marie",,,"0","ECW"
"Dean Malenko","Dean Malenko",,,"0","ECW"
"Devon Storm","Devon Storm",,,"0","ECW"
"Don Muraco","Don Muraco",,,"0","ECW"
"Doug Furnas","Doug Furnas","1959","2012","1","ECW"
"The Dudley Boyz","Dudley Boyz",,,"0","ECW"
"Dusty Rhodes","Dusty Rhodes","1945","2015","1","ECW"
"E.Z. Money","E.Z. Money",,,"0","ECW"
"Eddie Gilbert","Eddie Gilbert","1961","1995","1","ECW"
"Eddie Guerrero","Eddie Guerrero","1967","2005","1","ECW"
"El Mosco de la Merced","El Mosco de la Merced",,,"0","ECW"
"Pablo Márquez","Pablo Márquez",,,"0","ECW"
"Erik Watts","Erik Watts",,,"0","ECW"
"Francine","Francine",,,"0","ECW"
"The Full Blooded Italians (FBI)","Full Blooded Italians (FBI)",,,"0","ECW"
"Gorgeous George","Gorgeous George",,,"0","ECW"
