"v6_id","is_title_known","theme_type","title_or_descr","subtitle","notes","is_edit","artists_main","artists_feat","albums","is_admin_fave","is_discontinued","lyrics","proof_yt_id","proof_yt_time","play_yt_id","prod_libs","tempo_bpm"
"36307","0","2","Unknown Title",,,"0",,,,"0","0",,,,NULL,,NULL
"36528","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-DS/289.html"">Proof of Usage (38:40)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36530","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-DS/289.html"">Proof of Usage (51:55)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36524","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-DS/289.html"">Proof of Usage (9:15)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36531","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-DS/289.html"">Proof of Usage (1:06:00)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36523","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-DS/289.html"">Proof of Usage (9:00)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36474","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-DS/285.html"">Proof of Usage (1:18:55)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36977","0","2","Unknown Title",,,"0",,,,"0","0",,"WhJMhHKG89I","81:05",NULL,,NULL
"36895","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-EC/561.html"">Proof of Usage (58:20)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36883","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-EC/394.html"">Proof of Usage (1:14:00)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36881","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-EC/394.html"">Proof of Usage (57:50)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36880","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-EC/394.html"">Proof of Usage (45:55)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36879","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-EC/394.html"">Proof of Usage (44:50)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36875","0","2","Unknown Title",,,"0",,,,"0","0",,,,,,NULL
"36943","0","2","Unknown Title",,,"0",,,,"0","0",,"Kll455zbqiA","1:37",NULL,,NULL
"36862","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-EC/508.html"">Proof of Usage (1:12:00)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36859","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-EC/508.html"">Proof of Usage (50:05)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36857","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/darkmaker1989/video/IWA-EC/508.html"">Proof of Usage (36:35)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36847","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/cristofer3000/video/4/376.html"">Proof of Usage (16:35)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36846","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/cristofer3000/video/4/376.html"">Proof of Usage (15:50)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36347","0","2","Unknown Title",,,"0",,,,"0","0",,,,NULL,,NULL
"36367","0","2","Unknown Title",,,"0",,,,"0","0",,,,NULL,,NULL
"36428","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/kashifc/video/_myvideo/5.html"">Proof of Usage (1:01:30)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36385","0","2","Unknown Title",,"<a href=""http://my.mail.ru/mail/cristofer3000/video/4/160.html"">Proof of Usage (28:45)</a>.","0",,,,"0","0",,,,NULL,,NULL
"36341","0","2","Unknown Title",,,"0",,,,"0","0",,,,NULL,,NULL
"36765","0","2","Unknown Title",,,"0",,,,"0","0",,,,NULL,,NULL
"36766","0","2","Unknown Title",,,"0",,,,"0","0",,,,NULL,,NULL
"36768","0","2","Unknown Title",,,"0",,,,"0","0",,,,NULL,,NULL
"36777","0","2","Unknown Title",,,"0",,,,"0","0",,,,NULL,,NULL
"36792","0","2","Unknown Title",,,"0",,,,"0","0",,,,NULL,,NULL
