id,name_full,name_sort,year_born,year_died,is_dead,org_acronym
1,2 Cold Scorpio,2 Cold Scorpio,,,0,ECW
2,911,911,,,0,ECW
4,Al Snow,Al Snow,,,0,ECW
5,Angel,Angel,,,0,ECW
7,Atsushi Onita,Atsushi Onita,,,0,ECW
8,Axl Rotten,Axl Rotten,1971,2016,1,ECW
11,Balls Mahoney,Balls Mahoney,1972,2016,1,ECW
12,Bam Bam Bigelow,Bam Bam Bigelow,1961,2007,1,ECW
14,Beulah McGillicutty,Beulah McGillicutty,,,0,ECW
15,Big Titan,Big Titan,1970,2019,1,ECW
16,Big Val Puccio,Big Val Puccio,1965,2011,1,ECW
17,Bilvis Wesley,Bilvis Wesley,,,0,ECW
18,The Blue Meanie,Blue Meanie,,,0,ECW
20,Bobby Duncum Jr.,Bobby Duncum Jr.,1965,2000,1,ECW
21,Bobby Eaton,Bobby Eaton,1958,2021,1,ECW
23,Brian Lee,Brian Lee,,,0,ECW
25,Broad Street Bully,Broad Street Bully,,,0,ECW
27,C.W. Anderson,CW Anderson,,,0,ECW
29,Cactus Jack,Cactus Jack,,,0,ECW
30,Chad Austin,Chad Austin,,,0,ECW
31,Chilly Willy,Chilly Willy,,,0,ECW
32,Chris Benoit,Chris Benoit,1967,2007,1,ECW
33,Chris Candido,Chris Candido,1972,2005,1,ECW
34,Chris Chetti,Chris Chetti,,,0,ECW
36,Chris Hamrick,Chris Hamrick,,,0,ECW
37,Chris Jericho,Chris Jericho,,,0,ECW
39,Christian York,Christian York,,,0,ECW
40,Christopher Daniels,Christopher Daniels,,,0,ECW
43,Mr. Hughes,Mr. Hughes,,,0,ECW
46,Danny Doring,Danny Doring,,,0,ECW
48,Dark Patriot,Dark Patriot,,,0,ECW
49,Dawn Marie,Dawn Marie,,,0,ECW
50,Dean Malenko,Dean Malenko,,,0,ECW
51,Devon Storm,Devon Storm,,,0,ECW
53,Don Muraco,Don Muraco,,,0,ECW
54,Doug Furnas,Doug Furnas,1959,2012,1,ECW
55,The Dudley Boyz,Dudley Boyz,,,0,ECW
57,Dusty Rhodes,Dusty Rhodes,1945,2015,1,ECW
59,E.Z. Money,E.Z. Money,,,0,ECW
60,Eddie Gilbert,Eddie Gilbert,1961,1995,1,ECW
61,Eddie Guerrero,Eddie Guerrero,1967,2005,1,ECW
62,El Mosco de la Merced,El Mosco de la Merced,,,0,ECW
63,Pablo Márquez,Pablo Márquez,,,0,ECW
65,Erik Watts,Erik Watts,,,0,ECW
67,Francine,Francine,,,0,ECW
68,The Full Blooded Italians (FBI),Full Blooded Italians (FBI),,,0,ECW
70,Gorgeous George,Gorgeous George,,,0,ECW
71,Great Sasuke,Great Sasuke,,,0,ECW
72,Hack Meyers,Hack Meyers,1973,2015,1,ECW
74,The Headhunters,Headhunters,,,0,ECW
76,Hot Commodity,Hot Commodity,,,0,ECW
77,Ian Rotten,Ian Rotten,,,0,ECW
80,J.T. Smith,J.T. Smith,,,0,ECW
81,Jack Victory,Jack Victory,,,0,ECW
83,Jamie Dundee,Jamie Dundee,,,0,ECW
84,Jason Knight,Jason Knight,,,0,ECW
85,Jazz,Jazz,,,0,ECW
86,Jerry Lynn,Jerry Lynn,,,0,ECW
87,Jimmy Del Ray,Jimmy Del Ray,1962,2014,1,ECW
89,John Kronus,John Kronus,1969,2007,1,ECW
90,Johnny Hotbody,Johnny Hotbody,,,0,ECW
91,Johnny Smith,Johnny Smith,,,0,ECW
94,Jungle Jim Steele,Jungle Jim Steele,,,0,ECW
95,Justin Credible,Justin Credible,,,0,ECW
96,Juventud Guerrera,Juventud Guerrera,,,0,ECW
97,Kevin Sullivan,Kevin Sullivan,1949,2024,1,ECW
98,Kid Kash,Kid Kash,,,0,ECW
99,Kimona Wanalaya,Kimona Wanalaya,,,0,ECW
100,Kintaro Kanemura,Kintaro Kanemura,,,0,ECW
101,Konnan,Konnan,,,0,ECW
102,La Wolfa,La Wolfa,,,0,ECW
103,Lance Storm,Lance Storm,,,0,ECW
104,Little Guido,Little Guido,,,0,ECW
105,Louie Spicolli,Louie Spicolli,1971,1998,1,ECW
106,Luna Vachon,Luna Vachon,1962,2010,1,ECW
108,Masato Tanaka,Masato Tanaka,,,0,ECW
110,Mike Awesome,Mike Awesome,1965,2007,1,ECW
113,Mikey Whipwreck,Mikey Whipwreck,,,0,ECW
114,Mustafa Saed,Mustafa Saed,,,0,ECW
115,New Jack,New Jack,1963,2021,1,ECW
116,Nova,Nova,,,0,ECW
117,One Man Gang,One Man Gang,,,0,ECW
118,Osamu Nishimura,Osamu Nishimura,1971,2025,1,ECW
119,PN News,PN News,,,0,ECW
120,Papi Chulo,Papi Chulo,,,0,ECW
122,Paul Lauria,Paul Lauria,,,0,ECW
123,Paul Varelans,Paul Varelans,1969,2021,1,ECW
125,The Pitbulls,Pitbulls,,,0,ECW
127,Psicosis,Psicosis,,,0,ECW
129,Raven,Raven,,,0,ECW
131,Rey Mysterio Jr.,Rey Mysterio Jr.,,,0,ECW
132,Rhino,Rhino,,,0,ECW
133,Rick Rude,Rick Rude,1958,1999,1,ECW
134,Ricky Banderas,Ricky Banderas,,,0,ECW
135,Road Warrior Hawk,Road Warrior Hawk,1957,2003,1,ECW
137,Rob Van Dam,Rob Van Dam,,,0,ECW
138,Rocco Rock,Rocco Rock,1953,2002,1,ECW
139,Rockin' Rebel,Rockin' Rebel,1966,2018,1,ECW
140,Rod Price,Rod Price,,,0,ECW
141,Ron Simmons,Ron Simmons,,,0,ECW
142,Sabu,Sabu,1964,2025,1,ECW
143,Sal E. Graziano,Sal E. Graziano,,,0,ECW
144,Salvatore Bellomo,Salvatore Bellomo,1951,2019,1,ECW
146,The Sandman,Sandman,,,0,ECW
148,Scotty Anton,Scotty Anton,,,0,ECW
149,Shane Douglas,Shane Douglas,,,0,ECW
151,Simon Diamond,Simon Diamond,,,0,ECW
152,Spike Dudley,Spike Dudley,,,0,ECW
153,Spiros Greco,Spiros Greco,,,0,ECW
155,Steve Austin,Steve Austin,,,0,ECW
156,Steve Corino,Steve Corino,,,0,ECW
157,Steve Williams,Steve Williams,1960,2009,1,ECW
158,Stevie Richards,Stevie Richards,,,0,ECW
159,Súper Crazy,Super Crazy,,,0,ECW
160,Super Destroyers,Super Destroyers,,,0,ECW
161,Taka Michinoku,Taka Michinoku,,,0,ECW
162,Tammy Lynn Sytch,Tammy Lynn Sytch,,,0,ECW
163,Tarzan Goto,Tarzan Goto,1963,2022,1,ECW
164,Taz,Taz,,,0,ECW
165,Terry Funk,Terry Funk,1944,2023,1,ECW
166,Terry Gordy,Terry Gordy,1961,2001,1,ECW
167,Tito Santana,Tito Santana,,,0,ECW
169,Tommy Cairo,Tommy Cairo,,,0,ECW
170,Tommy Dreamer,Tommy Dreamer,,,0,ECW
171,Tommy Rich,Tommy Rich,,,0,ECW
172,Tommy Rogers,Tommy Rogers,1961,2015,1,ECW
173,Tony DeVito,Tony DeVito,,,0,ECW
174,Tony Mamaluke,Tony Mamaluke,,,0,ECW
175,Tony Stetson,Tony Stetson,,,0,ECW
176,Tracey Smothers,Tracey Smothers,1962,2020,1,ECW
178,Uganda,Uganda,,,0,ECW
180,Vampire Warrior,Vampire Warrior,,,0,ECW
